@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
21,12,12,21,2,1
28,15,15,27,4,?
38,9,12,15,2,7
27,15,15,18,3,20
53,15,17,20,4,?
20,13,13,13,2,12
39,12,18,18,4,?
57,13,15,23,5,?
30,13,0,0,4,?
64,10,10,10,5,?
21,10,10,18,3,21
41,11,16,18,5,?
28,15,17,19,4,?
25,11,14,17,4,?
29,13,6,15,6,27
34,13,17,21,2,18
56,14,15,20,5,?
58,9,13,26,4,?
24,13,0,0,3,23
62,11,20,25,5,?
42,12,14,17,4,?
33,12,15,16,4,?
54,18,22,24,5,?
35,12,14,19,5,?
28,11,23,28,5,?
31,11,12,22,5,?
61,12,15,18,5,?
44,8,12,12,2,14
35,15,21,26,5,?
18,0,0,0,6,1
41,10,15,18,4,?
46,8,12,14,5,?
35,15,15,20,4,?
41,14,16,21,4,?
53,17,19,21,4,?
31,6,16,21,5,?
31,16,0,0,4,?
53,12,20,23,4,?
36,8,15,17,4,?
40,10,18,18,2,18
39,3,7,11,5,?
39,12,20,21,4,?
33,12,12,16,3,25
36,12,15,15,4,?
29,12,14,16,4,?
32,12,13,13,3,13
52,11,14,23,4,?
49,11,16,23,4,?
28,5,5,21,5,?
43,10,15,18,5,?
24,12,12,18,5,?
29,15,15,15,1,15
56,11,14,20,5,?
29,12,15,18,3,16
40,17,17,24,2,21
33,14,18,21,4,?
43,20,16,16,2,21
40,14,20,21,2,17
35,13,16,20,5,?
26,12,16,20,3,15
28,17,22,22,4,?
33,7,13,16,4,?
43,12,16,23,4,?
28,6,13,20,2,1
43,10,10,12,2,11
25,8,13,20,4,?
52,9,15,28,4,?
27,11,12,13,5,?
16,7,11,14,2,10
42,15,15,15,5,?
23,5,14,20,4,?
49,12,15,24,4,?
24,12,13,17,3,1
20,8,14,15,2,1
18,9,15,0,3,11
28,12,15,20,5,?
20,9,9,14,1,15
35,16,19,19,2,16
46,11,14,24,4,?
36,8,17,21,4,?
19,8,15,18,3,17
20,9,0,0,6,20
16,12,14,14,2,14
22,19,13,13,3,21
37,12,18,20,5,?
35,8,13,20,4,?
47,5,17,22,3,16
27,12,19,19,2,14
29,6,6,19,2,1
53,10,10,19,5,?
35,8,17,17,2,11
40,12,12,13,2,1
29,9,12,14,4,?
26,12,17,19,2,1
26,10,17,14,3,1
33,13,16,18,1,1
23,15,18,19,2,14
52,14,18,19,4,?
33,12,15,18,2,15
37,8,8,18,6,1
36,8,16,21,5,?
37,16,16,16,2,12
30,6,13,19,5,?
23,8,8,15,6,15
37,10,15,25,3,32
28,12,14,15,4,?
39,12,13,14,2,13
47,5,15,21,4,?
32,8,10,15,6,8
27,10,18,19,4,?
31,11,13,13,3,25
25,4,14,18,2,13
61,14,17,21,4,?
37,13,13,17,2,13
25,10,7,19,3,16
26,12,16,18,2,1
25,11,13,13,2,12
32,10,14,20,4,?
24,6,9,13,6,1
55,6,18,25,1,1
15,13,0,0,1,13
35,14,18,19,2,21
32,15,17,17,3,15
38,16,16,16,3,18
22,10,13,14,3,17
33,7,19,17,3,18
19,10,14,0,1,1
36,10,20,20,1,10
42,12,14,16,4,?
40,5,17,19,3,1
23,10,15,19,3,18
21,14,0,0,6,20
31,11,15,15,2,15
41,12,15,20,1,14
23,12,13,17,6,14
38,12,16,17,4,?
49,5,10,19,3,22
27,10,16,18,2,1
26,6,15,15,3,12
57,12,12,25,4,?
35,12,16,18,3,15
27,17,21,21,1,1
44,10,15,17,2,1
19,13,13,16,3,14
43,8,12,21,3,1
58,14,26,26,4,?
49,14,16,17,5,?
55,7,18,22,2,7
45,15,15,20,5,?
47,5,23,27,2,4
43,10,7,16,3,30
42,16,16,19,2,1
42,11,12,17,4,?
26,12,15,17,3,13
42,15,15,20,3,19
63,12,13,18,4,?
28,18,18,18,2,17
28,10,16,17,2,1
21,10,15,0,2,1
50,12,34,35,1,1
21,12,17,20,3,20
36,9,17,17,2,11
36,13,15,16,1,14
29,17,15,17,2,15
28,7,8,8,2,9
33,10,14,14,2,12
38,8,15,19,2,1
54,5,14,18,3,33
28,13,14,16,3,17
32,10,23,23,3,18
33,6,6,17,4,?
19,8,15,16,3,18
25,9,13,14,6,19
31,10,10,18,3,16
23,12,12,18,2,15
29,11,12,17,1,14
33,13,22,25,2,1
49,11,16,16,4,?
37,8,14,21,5,?
34,13,17,18,1,13
19,12,12,0,6,1
47,15,15,19,4,?
53,14,16,21,4,?
54,15,18,30,4,?
51,13,20,25,4,?
42,11,12,20,5,?
24,12,19,20,2,1
36,8,12,16,5,?
53,12,16,30,4,?
29,15,17,17,2,15
35,12,13,17,2,14
28,14,12,15,3,19
44,8,19,24,5,?
26,10,15,15,2,15
39,13,16,17,1,16
57,12,22,23,2,19
58,18,18,30,5,?
33,12,13,18,5,?
51,11,20,20,5,?
45,13,17,24,4,?
59,5,16,19,5,?
45,13,18,25,5,?
22,11,0,0,6,21
34,15,16,18,4,?
57,16,17,17,4,?
49,14,13,22,3,21
18,10,14,0,6,12
42,10,16,26,2,25
60,17,25,25,4,?
48,20,42,0,4,?
33,15,17,17,1,16
17,15,0,0,3,1
27,22,22,23,6,25
52,11,17,35,4,?
36,4,14,14,2,4
36,10,15,16,2,7
46,8,16,19,4,?
39,8,17,17,4,?
51,11,14,17,5,?
27,12,12,13,3,1
21,8,12,15,3,1
27,13,14,16,1,15
27,5,12,14,2,1
38,5,8,26,6,1
75,15,18,18,4,?
44,15,17,18,4,?
34,10,18,18,2,1
34,7,10,18,2,6
51,11,15,20,5,?
40,12,15,18,4,?
28,12,15,17,3,15
33,12,20,20,3,1
53,12,12,16,5,?
23,8,13,15,3,12
